id_code,true_label,both_pred,r701,r300
093a42649c29,3,2,2.0,2.0
0eb52045349f,1,2,2.0,2.0
1269ab57c2e6,2,1,1.0,1.0
14e3f84445f7,3,4,4.0,4.0
191a711852bd,3,4,4.0,4.0
194814669fee,1,2,2.0,2.0
1b329a127307,1,2,2.0,2.0
262ad704319c,4,3,3.0,3.0
282bc792d23a,2,1,1.0,1.0
3435fd8675a2,3,4,4.0,4.0
382752f6694a,1,2,2.0,2.0
3b018e8b7303,3,2,2.0,2.0
4384fa687afa,2,1,1.0,1.0
4462fba1d2a1,4,3,3.0,3.0
51131b48f9d4,1,2,2.0,2.0
687759336b0d,3,2,2.0,2.0
6f4e0538d1e4,2,1,1.0,1.0
7102f29e052e,2,3,3.0,3.0
7a6e384a0846,3,2,2.0,2.0
7c90ab025331,4,2,2.0,2.0
82910bba4753,2,3,3.0,3.0
82ac8463fadd,1,0,0.0,0.0
8bed09514c3b,4,1,1.0,1.0
8fd7ad26e691,4,2,2.0,2.0
9ad92f1c1542,2,1,1.0,1.0
a150ff5dfe07,2,3,3.0,3.0
a28bfb772f50,1,2,2.0,2.0
a45d77edf8d9,2,1,1.0,1.0
aba3063c5413,3,2,2.0,2.0
b019a49787c1,3,4,4.0,4.0
b37aae3c8fe1,4,1,1.0,1.0
c739ff9580d3,1,2,2.0,2.0
c9485c38fdd5,1,2,2.0,2.0
cd54d022e37d,4,2,2.0,2.0
d18aea8238a0,2,1,1.0,1.0
da6389d129aa,0,1,1.0,1.0
e150935f66a6,2,1,1.0,1.0
e1fb532f55df,3,4,4.0,4.0
e26d8718ca58,1,0,0.0,0.0
e34fa07bd64d,2,3,3.0,3.0
e4730ddde408,4,3,3.0,3.0
eaa0dfbd5024,4,1,1.0,1.0
f066db7a2efe,0,1,1.0,1.0
f576e45d1da2,3,2,2.0,2.0
f6f7dba7104d,1,2,2.0,2.0
